GCF_000006805.1	GAF	3
GCF_000006805.1	PAS_Fold	10
GCF_000006805.1	No clan	2
GCF_000006805.1	hole	7
GCF_000007065.1	GAF	4
GCF_000007065.1	P-loop_NTPase	5
GCF_000007065.1	No clan, related to PAS, GAF and sCache	5
GCF_000007065.1	Cache	5
GCF_000007065.1	PAS_Fold	55
GCF_000007065.1	hole	13
GCF_000007065.1	No clan	3
GCF_000007345.1	GAF	12
GCF_000007345.1	No clan, related to PAS, GAF and sCache	6
GCF_000007345.1	PAS_Fold	92
GCF_000007345.1	hole	23
GCF_000007345.1	Cache	5
GCF_000007345.1	P-loop_NTPase	14
GCF_000007345.1	No clan	5
GCF_000008645.1	PAS_Fold	12
GCF_000008645.1	No clan	1
GCF_000008645.1	hole	9
GCF_000008665.1	Cache	1
GCF_000008665.1	GAF	1
GCF_000008665.1	PAS_Fold	19
GCF_000008665.1	No clan	1
GCF_000008665.1	hole	7
GCF_000009185.1	HisKA_4TM	1
GCF_000009185.1	PAS_Fold	3
GCF_000009185.1	hole	1
GCF_000011005.1	GAF	10
GCF_000011005.1	PAS_Fold	93
GCF_000011005.1	hole	11
GCF_000011005.1	Cache	2
GCF_000011005.1	HATPase_c_3	1
GCF_000011005.1	No clan	2
GCF_000011085.1	GAF	7
GCF_000011085.1	PAS_Fold	40
GCF_000011085.1	hole	14
GCF_000011085.1	Cache	1
GCF_000011085.1	HisKA_4TM	2
GCF_000011085.1	No clan	9
GCF_000011585.1	Cache	2
GCF_000011585.1	No clan	2
GCF_000011585.1	hole	2
GCF_000013445.1	GAF	1
GCF_000013445.1	No clan, related to PAS, GAF and sCache	1
GCF_000013445.1	HTH	2
GCF_000013445.1	PAS_Fold	57
GCF_000013445.1	Peripla_BP	1
GCF_000013445.1	Cache	5
GCF_000013445.1	hole	22
GCF_000013445.1	No clan	9
GCF_000013445.1	PBP	1
GCF_000013725.1	GAF	6
GCF_000013725.1	PBP	2
GCF_000013725.1	PAS_Fold	28
GCF_000013725.1	Cache	6
GCF_000013725.1	hole	11
GCF_000014945.1	GAF	1
GCF_000014945.1	PAS_Fold	7
GCF_000014945.1	No clan	1
GCF_000014945.1	hole	5
GCF_000015765.1	HATPase_c_3	1
GCF_000015765.1	hole	1
GCF_000015825.1	GAF	6
GCF_000015825.1	PAS_Fold	33
GCF_000015825.1	No clan	3
GCF_000015825.1	hole	11
GCF_000016125.1	Cache	2
GCF_000016125.1	No clan	2
GCF_000016125.1	hole	2
GCF_000017165.1	Cache	3
GCF_000017165.1	PAS_Fold	1
GCF_000017165.1	No clan	2
GCF_000017165.1	hole	2
GCF_000017185.1	Cache	1
GCF_000017185.1	No clan	1
GCF_000017185.1	hole	1
GCF_000017625.1	GAF	2
GCF_000017625.1	PAS_Fold	43
GCF_000017625.1	hole	20
GCF_000017625.1	Cache	1
GCF_000017625.1	HTH	1
GCF_000017625.1	No clan	1
GCF_000017625.1	PBP	1
GCF_000018465.1	DUF3068	1
GCF_000018465.1	PAS_Fold	1
GCF_000018465.1	4HB_MCP	1
GCF_000018465.1	ANF_receptor	1
GCF_000018465.1	Cache	1
GCF_000018465.1	hole	8
GCF_000018465.1	No clan	1
GCF_000021965.1	GAF	3
GCF_000021965.1	PAS_Fold	42
GCF_000021965.1	hole	19
GCF_000021965.1	Cache	3
GCF_000021965.1	Peripla_BP	1
GCF_000021965.1	Thioredoxin	1
GCF_000021965.1	No clan	3
GCF_000022205.1	GAF	1
GCF_000022205.1	HisKA_4TM	1
GCF_000022205.1	PAS_Fold	31
GCF_000022205.1	No clan	10
GCF_000022205.1	hole	10
GCF_000022365.1	No clan	2
GCF_000023945.1	GAF	2
GCF_000023945.1	PAS_Fold	20
GCF_000023945.1	hole	11
GCF_000023945.1	Cache	1
GCF_000023945.1	HisKA_4TM	1
GCF_000023945.1	No clan	10
GCF_000023945.1	PP2C	1
GCF_000023965.1	GAF	3
GCF_000023965.1	PAS_Fold	13
GCF_000023965.1	hole	7
GCF_000023965.1	Cache	1
GCF_000023965.1	HisKA_4TM	3
GCF_000023965.1	No clan	6
GCF_000023985.1	Cache	1
GCF_000023985.1	No clan	1
GCF_000023985.1	hole	1
GCF_000025285.1	PAS_Fold	3
GCF_000025285.1	hole	1
GCF_000025325.1	GAF	16
GCF_000025325.1	PAS_Fold	47
GCF_000025325.1	hole	18
GCF_000025325.1	P-loop_NTPase	6
GCF_000025325.1	HisKA_4TM	5
GCF_000025325.1	No clan	3
GCF_000025505.1	Cache	1
GCF_000025505.1	PAS_Fold	3
GCF_000025505.1	hole	2
GCF_000025525.1	Cache	1
GCF_000025525.1	No clan	1
GCF_000025525.1	hole	1
GCF_000025625.1	GAF	2
GCF_000025625.1	P-loop_NTPase	1
GCF_000025625.1	PAS_Fold	16
GCF_000025625.1	hole	8
GCF_000025665.1	GAF	3
GCF_000025665.1	PAS_Fold	4
GCF_000025665.1	hole	2
GCF_000025685.1	GAF	4
GCF_000025685.1	HisKA_4TM	1
GCF_000025685.1	PAS_Fold	22
GCF_000025685.1	No clan	8
GCF_000025685.1	hole	10
GCF_000025865.1	GAF	6
GCF_000025865.1	hole	12
GCF_000025865.1	PAS_Fold	34
GCF_000025865.1	No clan	1
GCF_000025865.1	Cache	5
GCF_000026045.1	GAF	5
GCF_000026045.1	PAS_Fold	34
GCF_000026045.1	No clan	3
GCF_000026045.1	Cache	1
GCF_000026045.1	hole	13
GCF_000063445.1	GAF	6
GCF_000063445.1	PAS_Fold	54
GCF_000063445.1	Pkinase	1
GCF_000063445.1	hole	14
GCF_000063445.1	Cache	5
GCF_000063445.1	P-loop_NTPase	3
GCF_000063445.1	No clan	8
GCF_000069025.1	GAF	4
GCF_000069025.1	PAS_Fold	11
GCF_000069025.1	No clan	2
GCF_000069025.1	hole	7
GCF_000145295.1	P-loop_NTPase	1
GCF_000145295.1	PAS_Fold	16
GCF_000145295.1	No clan	2
GCF_000145295.1	hole	7
GCF_000147875.1	GAF	1
GCF_000147875.1	HTH	1
GCF_000147875.1	PAS_Fold	34
GCF_000147875.1	Peripla_BP	1
GCF_000147875.1	Cache	1
GCF_000147875.1	hole	19
GCF_000147875.1	No clan	3
GCF_000147875.1	PBP	1
GCF_000151205.2	No clan	2
GCF_000151245.1	PAS_Fold	1
