GCA_000091165.1	GCA_000091165	2752854	2716	Bacteria	Methylomirabilota	Methylomirabilia	Methylomirabilales	Methylomirabilaceae	Methylomirabilis	Methylomirabilis oxyfera	Bacteria	candidate division NC10				Candidatus Methylomirabilis	Candidatus Methylomirabilis oxyfera
GCA_000155715.1	GCA_000155715	2625605	2450	Bacteria	Pseudomonadota	Gammaproteobacteria	HTCC5015	HTCC5015	HTCC5015	HTCC5015 sp000155715	Bacteria	Proteobacteria	Gammaproteobacteria				
GCA_000218705.1	GCA_000218705	1569623	1992	Bacteria	Cyanobacteriota	Cyanobacteriia	PCC-6307	Cyanobiaceae	Prochlorococcus_A	Prochlorococcus_A marinus_Q	Bacteria	Cyanobacteria		Synechococcales	Prochlorococcaceae	Prochlorococcus	Prochlorococcus marinus
GCA_000218745.1	GCA_000218745	1484494	1763	Bacteria	Cyanobacteriota	Cyanobacteriia	PCC-6307	Cyanobiaceae	Prochlorococcus_A	Prochlorococcus_A marinus_T	Bacteria	Cyanobacteria		Synechococcales	Prochlorococcaceae	Prochlorococcus	Prochlorococcus marinus
GCA_000220375.1	GCA_000220375	1227157	1581	Archaea	Nanohaloarchaeota	Nanosalinia	Nanosalinales	Nanosalinaceae	Nanosalina	Nanosalina sp000220375	Archaea	Euryarchaeota	Nanohaloarchaea			Candidatus Nanosalina	
GCA_000246735.1	GCA_000246735	2064136	1721	Archaea	Thermoplasmatota	Poseidoniia	Poseidoniales	Poseidoniaceae	MGIIa-L1	MGIIa-L1 sp000246735	Archaea	Candidatus Thermoplasmatota	Candidatus Poseidoniia	Candidatus Poseidoniales			
GCA_000252525.1	GCA_000252525	1250389	1290	Bacteria	Pseudomonadota	Gammaproteobacteria	SAR86	D2472	SAR86A	SAR86A sp000252525	Bacteria	Proteobacteria	Gammaproteobacteria				
GCA_000307955.1	GCA_000307955	4391518	3939	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Solidesulfovibrio	Solidesulfovibrio magneticus_A	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Solidesulfovibrio	Solidesulfovibrio magneticus
GCA_000309865.1	GCA_000309865	2420154	2414	Archaea	Methanobacteriota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium sp000309865	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	
GCA_000310245.1	GCA_000310245	2360313	2377	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurimonadaceae	Sulfuricurvum	Sulfuricurvum sp000310245	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Thiovulaceae	Sulfuricurvum	
GCA_000347575.1	GCA_000347575	2252356	2553	Bacteria	Atribacterota	Atribacteria	Atribacterales	Caldatribacteriaceae	Caldatribacterium	Caldatribacterium saccharofermentans	Bacteria	Atribacterota				Candidatus Caldatribacterium	Candidatus Caldatribacterium saccharofermentans
GCA_000353875.1	GCA_000353875	2080526	2488	Bacteria	Atribacterota	Atribacteria	Atribacterales	Caldatribacteriaceae	Caldatribacterium	Caldatribacterium californiense	Bacteria	Atribacterota				Candidatus Caldatribacterium	Candidatus Caldatribacterium californiense
GCA_000415965.1	GCA_000415965	3475501	3489	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloferacaceae	Haloquadratum	Haloquadratum walsbyi_A	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloquadratum	Haloquadratum walsbyi
