GCA_000091165.1	GCA_000091165	2752854	2716	d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Methylomirabilales;f__Methylomirabilaceae;g__Methylomirabilis;s__Methylomirabilis oxyfera	d__Bacteria;p__candidate division NC10;c__;o__;f__;g__Candidatus Methylomirabilis;s__Candidatus Methylomirabilis oxyfera
GCA_000155715.1	GCA_000155715	2625605	2450	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__HTCC5015;f__HTCC5015;g__HTCC5015;s__HTCC5015 sp000155715	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__
GCA_000218705.1	GCA_000218705	1569623	1992	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Prochlorococcus_A;s__Prochlorococcus_A marinus_Q	d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Prochlorococcaceae;g__Prochlorococcus;s__Prochlorococcus marinus
GCA_000218745.1	GCA_000218745	1484494	1763	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Prochlorococcus_A;s__Prochlorococcus_A marinus_T	d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Prochlorococcaceae;g__Prochlorococcus;s__Prochlorococcus marinus
GCA_000220375.1	GCA_000220375	1227157	1581	d__Archaea;p__Nanohaloarchaeota;c__Nanosalinia;o__Nanosalinales;f__Nanosalinaceae;g__Nanosalina;s__Nanosalina sp000220375	d__Archaea;p__Euryarchaeota;c__Nanohaloarchaea;o__;f__;g__Candidatus Nanosalina;s__
GCA_000246735.1	GCA_000246735	2064136	1721	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__MGIIa-L1;s__MGIIa-L1 sp000246735	d__Archaea;p__Candidatus Thermoplasmatota;c__Candidatus Poseidoniia;o__Candidatus Poseidoniales;f__;g__;s__
GCA_000252525.1	GCA_000252525	1250389	1290	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__SAR86;f__D2472;g__SAR86A;s__SAR86A sp000252525	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__
GCA_000307955.1	GCA_000307955	4391518	3939	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Solidesulfovibrio;s__Solidesulfovibrio magneticus_A	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Solidesulfovibrio;s__Solidesulfovibrio magneticus
GCA_000309865.1	GCA_000309865	2420154	2414	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000309865	d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__
GCA_000310245.1	GCA_000310245	2360313	2377	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfuricurvum;s__Sulfuricurvum sp000310245	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Thiovulaceae;g__Sulfuricurvum;s__
