GB_GCA_002050035.1	GCA_002050035.1	76.64	1	d__Bacteria;p__4484-113;c__4484-113;o__4484-113;f__4484-113;g__4484-113;s__4484-113 sp002050035	1956161	MetaMiST
GB_GCA_002084765.1	GCA_002084765.1	98.77	1	d__Bacteria;p__4572-55;c__4572-55;o__4572-55;f__4572-55;g__4572-55;s__4572-55 sp002084765	1971726	MetaMiST
GB_GCA_002010725.1	GCA_002010725.1	92.94	1	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__JdFR-80;g__JdFR-80;s__JdFR-80 sp002010725	1935110	MetaMiST
GB_GCA_003648765.1	GCA_003648765.1	91.44	1	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__JdFR-80;g__JdFR-80;s__JdFR-80 sp003648765	2052149	MetaMiST
GB_GCA_001773855.1	GCA_001773855.1	55.97	1	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__RBG-16-66-30;g__RBG-16-66-30;s__RBG-16-66-30 sp001773855	1797271	MetaMiST
GB_GCA_001775715.1	GCA_001775715.1	72.95	1	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__RBG-16-66-30;g__RBG-16-66-30;s__RBG-16-66-30 sp001775715	1797274	MetaMiST
GB_GCA_001775755.1	GCA_001775755.1	85	1	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__RBG-16-66-30;g__RBG-16-66-30;s__RBG-16-66-30 sp001775755	1797277	MetaMiST
GB_GCA_002010665.1	GCA_002010665.1	93.85	1	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__JdFR-78;f__JdFR-78;g__JdFR-78;s__JdFR-78 sp002010665	1935108	MetaMiST
GB_GCA_003223025.1	GCA_003223025.1	97.44	1	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__OLB17;s__OLB17 sp003223025	1978231	MetaMiST
GB_GCA_003223975.1	GCA_003223975.1	88.75	1	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__OLB17;s__OLB17 sp003223975	1978231	MetaMiST
GB_GCA_003222935.1	GCA_003222935.1	74.97	1	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__PSRF01;s__PSRF01 sp003222935	1978231	MetaMiST
